index,推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
98,纯情的小火鸡,学习使我快乐到无与伦比（不重要）,哲学，生死,B站,https://www.bilibili.com/video/BV1P7411C7Gz,耶鲁大学的老师，视频看起来古老一些，对于究竟何为死亡，灵魂与肉体，等这一类问题将在本视频里得到很好的解答。,2021-02-08 00:00:00
99,Tristesse_STK,SchelleyYuki,计算机编程,B站,https://space.bilibili.com/2630977/,Schelley姐会分享对于计算机编程方面的知识与心得，给我的感觉非常专业，语言与动作的表达让人很舒服，而且能感觉到都是自己消化出来的，并非网上东抄西抄的。个人认为比较适合想要转专业到计算机领域的人。,2021-02-08 00:00:00
100,一芽二哟哦,画画的番木,绘画教学,B站,https://b23.tv/RopNj6,一个超级好的绘画教学博主！入门自学画画的可以去康康: https://b23.tv/C4eUeC 我是这个视频入坑的,2021-02-08 00:00:00
101,蓝白型冷笑话bot,拉片实验室,,B站,https://space.bilibili.com/18248648/video,干货满满，谁看谁知道,2021-02-08 00:00:00
102,鲁迅有一块朽木疙瘩,DR.CAN,机器人学与控制 / SCI论文写作,B站,https://space.bilibili.com/230105574,对于学控制的研究生群体很有帮助，不仅能有滋有味滴学到控制科学相关的课程，甚至能教你SCI论文写作（宝藏博主甚至还用现代控制理论去分析爱情，这样的宝藏博主绝对爱了！,2021-02-08 00:00:00
103,小鳥遊ＬＦ,HangFuRen,高中物理,B站,https://space.bilibili.com/23630128/dynamic,主要为高中物理 讲的很细 可以当作课后的温习,2021-02-08 00:00:00
104,love小小伤,物理系的允文君,大学物理，数学,B站,https://space.bilibili.com/52663683?spm_id_from=333.788.b_765f7570696e666f.1,这个课程特别建议听过一遍老师的讲课，但又感觉迷迷糊糊的学生。允文君是一个非常厉害的大佬，因为同为学生，所以很多老师没有讲的细节，在他那里会讲的很清楚。特别是对于考研的同学来说，很难找到这种对于大学物理知识系统的梳理，希望大家能关注一下这个宝藏up主,2021-02-08 00:00:00
105,小鳥遊ＬＦ,Ksr桑,绘画教学,B站,https://space.bilibili.com/1848018?spm_id_from=333.788.b_765f7570696e666f.1,很有趣的一个up主 画画技术也是非常厉害的 有兴趣的小伙伴可以康康,2021-02-08 00:00:00
106,晨曦,致敬大神,机器学习,B站,https://space.bilibili.com/230105574,up主把她所读过的书籍结合自己的理解拍成教学视频，对人工智能感兴趣的小伙伴可以看她的视频入门,2021-02-08 00:00:00
107,小鳥遊ＬＦ,葉子先生桑,日语,B站,https://space.bilibili.com/10957838?from=search&seid=14204745742581073840,对于那些想学日语 或者参加日语高考的小伙伴们这个可以去康康,2021-02-08 00:00:00
108,小皮球菌,Carrie王脑思,英语,B站,https://space.bilibili.com/471737270?from=search&seid=6134211294820766735&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
109,小皮球菌,画画的Angela,绘画,B站,https://space.bilibili.com/411442559?from=search&seid=13393417961772573788&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
110,小皮球菌,王M争,设计,B站,https://space.bilibili.com/20364476?from=search&seid=6102601555979192524&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
111,小皮球菌,YouTube设计精选,设计,B站,https://space.bilibili.com/281708245?from=search&seid=8637528168148772018&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
112,小皮球菌,设计师的睡前毒物,设计,B站,https://space.bilibili.com/606305397?from=search&seid=5751568804624766153&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
113,小皮球菌,KurTips,设计,B站,https://space.bilibili.com/225179867/video,,2021-02-07 00:00:00
114,小皮球菌,IDJ小九九,设计,B站,https://space.bilibili.com/453406733/video,,2021-02-07 00:00:00
115,小皮球菌,阿阳热爱前端,前端编程,B站,https://space.bilibili.com/478490349?from=search&seid=7470373407635177760&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
116,小皮球菌,oooooohmygosh,设计,B站,https://space.bilibili.com/38053181?from=search&seid=11456995530490823378&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
117,小皮球菌,Breanna设计分享,体验设计,B站,https://space.bilibili.com/476721351/video,,2021-02-07 00:00:00
118,小皮球菌,Krenz官方账号,绘画,B站,https://space.bilibili.com/181578039?from=search&seid=13090079877442576435&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
119,小皮球菌,设计与思考Design &Thinking,设计,B站,,2018.4.12 《设计与思考》是一部在探讨「设计思考」(Design Thinking)的纪录片。它的制作团队，是由Muris缪思以及台湾创意设计中心旧金山分部所组成。他们在2011年认识并一起合作，以创新拍片的方式完成电影，并在全球巡回播放。2013年，该团队又合力制作了第二部国际纪录片-Maker《自造世代》，是一部在探讨自造者运动的纪录片，也再度成功于Kickstarter募款拍片,2021-02-07 00:00:00
120,小皮球菌,Lucy,英语,B站,,跟着美女Lucy学英语 （中英字幕）,2021-02-07 00:00:00
121,神奇海螺1,一数,数学,B站,https://space.bilibili.com/14229967?from=search&seid=17644170544724683971,,2021-02-08 00:00:00
122,神奇海螺1,会放羊的教书匠,数学,B站,https://space.bilibili.com/44980991,,2021-02-08 00:00:00
123,暂无名称,历史调研室,,B站,https://space.bilibili.com/519872016/,,2021-02-08 00:00:00
124,淡定淡定608,受之学堂,工业设计,B站,https://space.bilibili.com/5679766?from=search&seid=5387482709978428720,,2021-02-08 00:00:00
125,还和你说,陆铭教授,空间经济学，计量经济学,B站,https://space.bilibili.com/508835396/,强烈推荐其《大国大城》一书！！！,2021-02-08 00:00:00
126,鬼谷良师,BkbK-,计算机,B站,https://bokai.blog.csdn.net/,,2021-02-09 00:00:00
127,良景,Krenz官方账号,,B站,https://space.bilibili.com/181578039/,绘画基础的干货，很适合新手入门练习时观看,2021-02-08 00:00:00
128,赵阙,不务正业的李雷,生活科普,B站,https://b23.tv/kRaapO,,2021-02-09 00:00:00
129,sky92,sky92昙,西班牙语,B站,https://space.bilibili.com/5548363/channel/detail?cid=151293,新现西的教材讲解，还在持续更新,2021-02-11 00:00:00
130,sky92,冰糖雪梨Cherie,西班牙语,B站,https://space.bilibili.com/66782324,上海某IB国际学校商管和西语老师，有篇A2难度语法讲的很好,2021-02-11 00:00:00
131,Ayzjl,李好帅的黄金屋,分享书的UP,B站,https://space.bilibili.com/16395179?from=search&seid=1391500891483912232,视频风格让你觉得他是在单独的对话，而不是讲述。而且也正在不断尝试新的东西，视频事业也是在上升期，不像之前一断更就是半年。,2021-02-13 00:00:00
132,言念君子,,,B站,https://b23.tv/EuHlgQ,数据结构与算法看到的最仔细耐心的课程，非常适合初学者，唯一的缺点是篇幅较长,2021-02-14 00:00:00
133,东南枝,-LKs-,什锦区up主,B站,https://space.bilibili.com/125526?from=search&seid=4818063267001170616,,2021-02-15 00:00:00
134,杭奕,1900影剧室,影视剧解读,B站,https://www.bilibili.com/video/BV1QJ411a76B?from=search&seid=4446654470707480189,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020-02-29 00:00:00
135,杭奕,木鱼水心,影视剧解读,B站,https://search.bilibili.com/all?keyword=%E6%9C%A8%E9%B1%BC%E6%B0%B4%E5%BF%83,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020-02-29 00:00:00
136,杭奕,沙盘上的战争,军事、地理、历史,B站,https://search.bilibili.com/all?keyword=%E6%B2%99%E7%9B%98%E4%B8%8A%E7%9A%84%E6%88%98%E4%BA%89,用三维地图来推演近现代各经典战例，适于军事及历史爱好者,2020-02-29 00:00:00
137,一碗甜桂羮,未明子,哲学,B站,https://space.bilibili.com/23191782?from=search&seid=8812017466133041834,适合哲学入门，一个坚定的Marxist,2021-05-15 00:00:00
138,小斯,oeasy,传媒计算机技能,B站,,中传计算机老师，免费教PS，PR，AE,2021-06-12 00:00:00
139,小斯,白花恋诗彩,通识科普,B站,,十分钟速成课系列相当不错,2021-06-12 00:00:00
140,小斯,老蒋巨靠谱,B站,B站,,全B站分析内容最强的up主之一,2021-06-12 00:00:00
141,小斯,吸奇侠,四大名著,B站,,《水浒传》看法独特,2021-06-12 00:00:00
142,OFPC2Y,冲浪普拉斯,商业历史,B站,https://space.bilibili.com/290548469,中国商业历史，听听耳熟能详的品牌与商业大佬们的故事。不看不知道，商界故事可能比电视剧还狗血！,2021-06-16 00:00:00
143,贰子小脑斧,来真的,建筑,B站,https://space.bilibili.com/590784254/,,2021-07-03 00:00:00
144,贰子小脑斧,一只建筑精,建筑,B站,https://space.bilibili.com/484332084/,,2021-07-04 00:00:00
145,贰子小脑斧,海边的Liam,建筑,B站,https://space.bilibili.com/598257922/,,2021-07-05 00:00:00
146,琰の紅蓮,hero3046,日语,B站,https://space.bilibili.com/65988295,"讲的挺好,推荐他的一个文法查询的Excel,去他qq群看公告里有,具体是什么东西看这个视频https://www.bilibili.com/video/av26959498",2021-08-02 00:00:00
147,Wu F.E.3的,古城算法,计算机算法,B站,https://b23.tv/i0z93Q,数据结构和算法，讲得很好,2021-08-20 00:00:00
148,,老师好我叫何同学,数码区up主,B站,B站,95后北邮大学生数码区天花板,2021-08-20 00:00:00
149,,義北偏北,文史哲,B站,https://b23.tv/uUu6ZB,上传文史哲类公开课,2021-08-20 00:00:00
150,,coachshane,英语学习,B站,https://space.bilibili.com/473051410?spm_id_from=333.788.b_765f7570696e666f.1,"学习英语daily diction 必看,讲课生动有趣,口技大师,表演家,三观很正",2022-10-21 00:00:00
151,于阳阳阳阳,沈逸老师,国际关系，网络空间安全治理,B站,https://space.bilibili.com/648113003,真的强烈推荐，干货多且有长难句,2021-12-15 19:50:31
152,彼得-施特拉塞,一点创绘工作室,机械类大学生技能竞赛的讲解、Solidworks教程,B站,致力于大学生个人成长与技能竞赛,本人就是看他的视频并且参加的技能竞赛，学习到很多使用技巧，建议机械专业的大学生看一下,2021-12-15 20:11:16
153,CNtei,Yoloidea,人文,B站,https://space.bilibili.com/391624812/,"不出名的人文Up，精神荒原在下沉,我们依旧在狂欢. 搞不好以后会是个厨子 常居成都",2021-12-15 20:23:50
154,CNtei,男闺蜜kz,情感,B站,https://space.bilibili.com/1021770972/,情感区搞笑up主,2021-12-15 20:26:46
