index,推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
154,姬七桑,unity游戏制作,M_Studio,游戏制作/unity插件使用,B站/Unity官方中文课堂,https://www.bilibili.com/video/BV1W4411Z7UC?spm_id_from=333.999.0.0,根据教程可以完整的完成游戏制造的第一款游戏，就算是没有编程基础的人，也能轻松完成，值得推荐！！,
155,张靖杰,无,无,无,b站,无,无,
156,羡之,绘画基础（板绘）,krenz,绘画/基础美学知识,B站/CCTALK,,,
157,MR.天呐,一建课程,不清楚,建筑学,无,,,
158,局座117,《普通话吟诵》,徐健顺,汉语,B站,https://www.bilibili.com/video/BV1MW411y7z3?from=search&seid=5974773517759150782&spm_id_from=333.337.0.0,"学习了本课程，你大概可以对别人自豪地宣称：“我是中国人”！
什么是吟诵？和朗诵有什么区别？中国百年的西化浪潮为何独独将吟诵抛下？
本课程有的是醍醐灌顶、引人遐思。
我想，只要你坚持把第一集看了，后面四十九集你都会自觉地把它看完。",
159,米洛踝,无,无,无,无,,好吧，想试试,
160,晓晨昕,《笔记术》,沙牛,无,b站,https://www.bilibili.com/video/BV1Gx411X767?share_source=copy_web,对热门的纸质笔记术进行了以实践为目的的讲解，同时以印象笔记为载体，对用电子笔记术打造自己信息库进行讲解,
161,回旋镖,桥梁施工 大型临时结构设计与计算,王琛,土木工程,筑龙教育,https://www.bilibili.com/video/BV1VZ4y1G79C?spm_id_from=333.999.0.0,大型临建工程的设计与验算，三总五项必备,
162,计算机,计算机学习基础网站,菜鸟教程,计算机,菜鸟教程,http://runoob.com,,
163,百思得其解君,刑法学,罗翔,法学,无,,,
164,盐甜夏老师,《从零开始学小说》,子都忆情,小说教程,b站,https://space.bilibili.com/8051469,一个超级全超级良心的小说保姆级教程,
165,不善言辞的李先生,经济学,温铁军,经济学,B站,,,
166,ROY,PR,罗翔,PR,B,,,
167,少油少盐,Momentor动态设计C4D,曾潇霖Zaoeyo,广告学、视觉传达、设计,哔哩哔哩,https://space.bilibili.com/95961527?from=search&seid=14531762951933462057&spm_id_from=333.337.0.0,momentor集结了国内最前沿的动态设计。审美很棒！曾神的课除了有扎实的C4D知识，还有C4D相关的英语小课堂。赞！,
168,少油少盐,《公平与正义》,哈佛哲学教授Michael Sandel,哲学,B站,直接搜公平与正义,很有意思，喜欢思考的小伙伴~不要错过了。,
169,邢邪,Unity3D,祁天暄,Unity游戏制作,B站,https://www.bilibili.com/video/BV12s411g7gU?p=74&spm_id_from=pageDriver,这位老师与其说是讲Unity，不如说是在讲c#编程，这位老师讲课非常生动幽默，绝对不是那种枯燥无味的编程课,
170,she,一级建造师,张君,水利,环球网校,,,
171,火火话地理,初高中数学,一数,数学课程,B站,,系统，很好,
172,嘻嘻,社会学,无,社会学,无,,,
173,奋斗小青年yfee,B站精选fiddler抓包教程,软件测试干货分享,软件测试,B站,https://www.bilibili.com/video/BV1vM4y1V78M?from=search&seid=14383521458653841029&spm_id_from=333.337.0.0,,
174,ʚ蓝羽ɞ,《激荡四十年》系列,大象放映室,近代史,B站,https://www.bilibili.com/video/BV1AK4y147uB,"尝试了解释这么一件事：“从1978到2020，中国是如何崛起的？”
从1978年开始，以每年为一个单位做一个视频。主要讲讲这一年中国到底发生了什么？有哪些经济大事件？哪些企业人物、商业大佬崭露头角？顺带讲讲整个社会的局势和氛围。
等片子全做完了，就算是一个视频编年史。
目前更新到1994年(2021/12/23)",
175,柒略,国文翰苑之易经 动画,赵知易,哲学,B站,搜索,国文翰苑之易经 动画《伏羲篇》《孔子篇》《周公篇》。周易基础，人生哲理。,
176,大齐,民族脊梁：鲁迅,老刘，回到2049,鲁迅文学,bilibili,https://www.bilibili.com/video/BV1EY411W7D7,,
