index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
50,漳州阿沈,中国古建筑,[B站](https://space.bilibili.com/590514353),了溪,讲述中国古建筑具体形制、部件等等非常优秀的老师，内容汇集了多本相关领域的书籍、论文，相关专业、和对古建筑感兴趣的朋友都可以看看,2021-12-17 18:39:25
51,崩登仓仓,中国戏曲相关,[B站](https://space.bilibili.com/5081330),仄安,小姐姐人美声甜，又有专业知识储备，可以帮很多人了解到中国戏曲的一些鉴赏方法和认知,2021-12-20 23:23:44
52,玩艺术的吴雅琳,中国美术,[B站](https://space.bilibili.com/637679816),志承233,广州美术学院教授、美院中国传统雕塑研究所、数码雕塑中心创始人。文人诗书画家。从艺术审美角度和大家探讨东西方雕塑～,2021-12-19 09:42:50
53,唠点历史,中外历史,B站,落叶,都是干货，讲的很好,2021-12-19 00:05:34
54,冰零-Mahiru忠诚眷属,乐理,[B站](https://space.bilibili.com/8522090/channel/collectiondetail),liang_nice,一百秒乐理系列，用音乐加上注解，让你懂得如果使用更多的和声进行，拓宽音乐想象,2021-12-18 22:42:30
55,鹦鹉咖,乐理，编曲,[B站](https://space.bilibili.com/75901514/channel/series),liang_nice,编曲与乐理方面的教程，很专业,2021-12-18 22:53:16
56,周观鱼UP,书画鉴赏、古文解析,[B站](https://space.bilibili.com/287467607),MiaoCunFa,老师的古文知识非常的精深,2021-12-17 21:46:02
57,韩语养乐多老师,二外,B站,还没午睡,自学韩语就选养乐多老师！从发音入门到众多韩语歌教学，教学经验丰富~, 
58,沙包_Chilli,二次元绘画基础,[B站](https://space.bilibili.com/301570),并不像当学霸的学霸, ,2021-12-15 21:36:08
59,YJango,人工智能，学习观,B站,木石石石,力荐，颠覆你对学习的认知。在粉丝的支持下，有关“学习观”的书也正在制作中，超级期待！！！！,2021-02-07 00:00:00
60,Yoloidea,人文,[B站](https://space.bilibili.com/391624812),CNtei,"不出名的人文Up，精神荒原在下沉,我们依旧在狂欢. 搞不好以后会是个厨子 常居成都",2021-12-15 20:23:50
61,安森垚,人文/地理/历史,[B站](https://space.bilibili.com/11498155),光脉之酒,语速非常快，谣言粉碎者，自诩知识贩子，会很多门语言。,2021-12-17 20:29:41
62,-LKs-,什锦区up主,[B站](https://space.bilibili.com/125526),东南枝, ,2021-02-15 00:00:00
63,oeasy,传媒计算机技能,B站,小斯,中传计算机老师，免费教PS，PR，AE,2021-06-12 00:00:00
64,Breanna设计分享,体验设计,[B站](https://space.bilibili.com/476721351/video),小皮球菌, ,2021-02-07 00:00:00
65,Mandell博士,健康,[B站](https://space.bilibili.com/1473247194),CNtei,脊椎矫正医师Dr. Mandell,2021-12-15 20:47:10
66,丁香医生,健康,[B站](https://space.bilibili.com/15982391),CNtei,有趣的「人体调查组」、感人的「亲历者说」、有态度的「丁香较真」，再加上时不时更新的「漫漫说」和「了不起的医生」，我想总有一个栏目你会喜欢！,2021-12-15 21:23:43
67,杰里米JeremyEthier,健身,[B站](https://space.bilibili.com/1026087701),CNtei,科学健身博主,2021-12-15 21:44:13
68,善解童贞2001,全面性教育,[B站](https://space.bilibili.com/1669014509),CNtei,爱与科学解读孩子的性,2022-01-01 02:27:47
69,反诈骗,公孙田浩,[B站](https://space.bilibili.com/512574759),流浪中的路人,让大家更好的反诈骗,2022-02-16 18:06:42
70,老夏说公务员面试,公考面试,[B站](https://www.bilibili.com/video/BV12w411Z7F4),不会起啊日,深入浅出的讲解了公考面试的内容，逻辑清晰，对公考面试有很深的认识，启发很大。虽然b站名气不大，但是对我启发很大。ps：不是广告，也不是培训机构的人员。,2021-12-23 10:02:27
71,大啊毛君,写作,B站,1830073048, ,2021-12-22 11:13:20
72,小罐头工作室,军事,[B站](https://space.bilibili.com/17932574),西风塞马,实用军事知识, 
73,诸葛呈像,军事/历史/抗日,[其他](https://www.acfun.cn/u/6536080),丶迷虎子, ,2021-12-22 09:21:51
74,有观点大历史,军事、历史、地理,[其他](https://www.acfun.cn/u/12803292),迷糊子丶, ,2021-12-22 09:26:17
75,沙盘上的战争,军事、地理、历史,[B站](https://search.bilibili.com/all),杭奕,用三维地图来推演近现代各经典战例，适于军事及历史爱好者,2020-02-29 00:00:00
76,军武志,军事科普,B站,彼得-施特拉塞,的确是知识增加了,2021-12-15 20:32:57
77,这知识好冷,冷知识,[B站](https://space.bilibili.com/403943112),CNtei,bilibili 知名科普UP主,2021-12-15 21:25:27
78,李好帅的黄金屋,分享书的UP,[B站](https://space.bilibili.com/16395179),Ayzjl,视频风格让你觉得他是在单独的对话，而不是讲述。而且也正在不断尝试新的东西，视频事业也是在上升期，不像之前一断更就是半年。,2021-02-13 00:00:00
79,小钟Johnny,分享非洲生活,B站,荔枝RIO,up主是一名正在非洲工作旅居的小伙子，投稿视频是他每天在非洲生活的真实见闻，介绍了非洲当地人的真实生活, 
80,阿阳热爱前端,前端编程,[B站](https://space.bilibili.com/478490349),小皮球菌, ,2021-02-07 00:00:00
81,谜一样的剪辑师,剪辑,[B站](https://www.bilibili.com/video/BV1Ki4y187di),猫妖十二,你想学剪辑吗？这是一名专业的剪辑师,2021-12-19 07:33:46
82,谜一样的剪辑师,剪辑入门及高阶技巧,[B站](https://space.bilibili.com/2766539),心之所向,董北老师是很厉害的剪辑老师，并且做一些入门基础课程，无论剪辑技巧高低都可以了解一下。,2021-12-19 15:30:32
83,我们都是社畜,动物,[B站](https://space.bilibili.com/1481344732),西方塞马,有趣的动物故事, 
84,动物学博士陈睿,动物/琥珀,[B站](https://space.bilibili.com/523668635),光脉之酒,狐主任大学同学，动物学博士，琥珀研究者，收藏了很多稀有、漂亮的琥珀。,2021-12-17 20:41:16
85,世界记忆大师龙雅,动物/蛇类,[B站](https://space.bilibili.com/25126508),光脉之酒,”这是我们的老朋友黑眉锦蛇“，”都是瞎编的数据“，“保持敬畏之心，看见蛇要远离”,2021-12-17 20:58:33
