index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
671,《自动控制原理》,Dr.CAN,自动控制原理,[B站](https://www.bilibili.com/video/BV1jt411M7QU),夏和半山,自动化,没有复杂的公式推演，只是简单的讲解其中的联系,2021-02-07 00:00:00
672,《自然语言处理入门》,Michael Collins,自然语言处理,[B站](https://www.bilibili.com/video/BV1xx411B7UY),天才改代码少年,计算机科学/人工智能/计算语言学,一套成体系的自然语言处理从入门到深入的课程,2021-02-08 00:00:00
673,《观看之道》,约翰伯格,艺术,B站,少油少盐,广告学,观看之道给你一个新的角度观看世界。非常经典，还有同名的书，值得一看。,2021-12-22 01:56:16
674,《艺术管理学概论》,余丁,艺术管理,无,567,纯艺术,特别特别有用的中央美术学院艺术管理学课程！, 
675,《现代诗歌》,未知,英美文学,[网易公开课](https://open.163.com/newview/movie/free?pid=M6GJ5FINB&mid=M6GJ5T9D7),将神子,英语翻译,适合对英美文学专业的学生课外拓展用，或者对美国文学尤其是美国现代派诗歌的感兴趣的小伙伴,2021-02-09 00:00:00
676,《美国现代主义文学选读》,宋惠慈,英美文学,[网易公开课](https://open.163.com/newview/movie/free?pid=JESFE71AN&mid=PESFE71BA),将神子,英语翻译,适合对英美文学专业的学生课外拓展用，或者对美国文学的感兴趣的小伙伴,2021-02-09 00:00:00
677,《(非大学专业课)》,morty,英语,[B站](https://www.bilibili.com/video/BV1J4411B7n8),升腾腾,政治学与行政学,课程满满的干货，特别适合英语基础特别差的同学,2021-01-15 00:00:00
678,《【易筋经】底层、科学、垂直、颠覆——不出意外应该是B站最好的英语》,Morty老师,英语,B站,为了樱岛麻衣--,大数据,强烈推荐！！进入主页颠覆对英语的认知，适合各阶段英语学习者,2021-12-17 16:25:58
679,《中国人民大学英语口语能力标准》实施系列讲座——英语语音基础与朗读技巧,田朝霞,英语,[其他](http://sope.ruc.edu.cn/search.php?tit=田朝霞),小皮球菌,英语,英音发音，很了解中国学生的口语问题,2021-02-07 00:00:00
680,《新概念英语》,英语的平行世界,英语,B站,路人小黎,环境设计,英语宝藏UP，超级系统的语法课和新概念单词课。可以零基础学,2021-12-18 16:50:50
681,《新概念英语新东方》,不记得了,英语,无,达瓦里氏,英语,加油,2021-12-17 00:25:25
682,《最适合中国人的音标课》,英语兔,英语,[B站](https://www.bilibili.com/video/BV1iV411z7Nj),大头乔头很大,日语,兔老爹的英语语音发音分析得很详尽，还从英美发音习惯的对比上分析英语语音，适合初高中学生纠正错误的发音习惯，适合大学英专非英专学生培养正统英美口音的发音习惯。,2021-01-17 00:00:00
683,《每日英语听写 Daily English Dictation 1-400》,Coach Shane,英语,[B站](https://www.bilibili.com/video/BV1U7411a7xG),化肥,英语,听力量不多，贵在坚持.,2021-02-07 00:00:00
684,《考研英语》,朱伟,英语,B站,櫂音こ兎,法学,,2021-12-22 20:51:35
685,《英语b级4级》,都可以up主,英语,无,1582550895,英语,大专生，知识储备差，还有几个月就要考试英语b级了，网上课程又好贵，只能投靠大佬了,2022-04-06 19:50:49
686,《英语》,,英语,[B站](https://www.bilibili.com/video/BV1U7411t7sG),kkkllkkkk,英语,共96集，涵盖初中，高中，四六级，专四专八，考研，托福雅思，GRE的英语学习,2021-02-09 00:00:00
687,《英语听力、口语、日常表达》,Coachshane,英语,[B站](https://www.bilibili.com/video/BV1U7411a7xG),halaspud,英语,语速适中，句子经典，分析清楚详细，还有就是老师很有趣,2021-01-17 00:00:00
688,《英语词源探秘》,长春师范大学,英语,[中国大学MOOC](https://www.icourse163.org/course/CCSFDX-1450330177),怀瑟雅川,翻译,你不可不知的单词由来。配合李平武先生的《英语词根与单词的说文解字》、《英语词缀与英语派生词》效果更佳。,2021-12-21 00:58:08
689,《英语语法》,英语兔,英语,[B站](https://www.bilibili.com/video/BV1XY411J7aG),王老师会武功,汉语言文学,英语语法合集，零基础也不怕！,2022-04-03 16:32:10
690,《英语语音》,叶航,英语,中国大学MOOC, ,会计,, 
691,《英语语音知识》,田朝霞,英语,[其他](http://sope.ruc.edu.cn/displaynews.php?id=927),安隽,英语,结合中国学生语音学习过程中出现的问题进行教学,2021-01-15 00:00:00
692,"《英语零基础语法入门班,系列自学课程之初高中英语语法》",NIckcen英语课堂,英语,无,时空宙皇,网络技术,非常适合零基础的人学习英语语法,2021-12-16 15:42:07
693,《50篇英语精读合集 四六级考研英语必备》,栗之from一直夫妇,英语 英语四六级考研,B站,生生不息LJY,英语,英语阅读精读必备，大学生四六级阅读和考研人阅读会有帮助, 
694,《英语听力》,Coach-Shane,英语/听力,B站,陌南城,英语,我在B站刷到的最地道的，最详细的英语听力讲解，更难为可贵的是日常仍在更新,2021-12-21 00:43:58
695,《2021❤B站最棒英语听力(合集)☛学完提升N个层次(附资源)♪『500+』｜英语听力每日练⏰English》,惊叹号的英语世界,英语听力,[B站](https://www.bilibili.com/video/BV1kT4y1T7MW),Doubllllllz,软件工程,墙裂推荐，只听两遍就能抓牢大意,2021-02-08 00:00:00
696,"《【英语语法速成】英语零基础语法入门班,系列自学课程之初高中英语语法》",岑金源/Nick大爷,英语语法,[B站](https://www.bilibili.com/video/BV1L4411i7UC),我就不信我考不过,英语,讲解很详细，适合小白入门。,2021-02-08 00:00:00
697,《分析化学》,李发美,药学,[其他](http://www.zxshe.com/download/view-software-2790.html),学到头秃才算完,药学,预习复习分析化学的小伙伴们，看他,2021-02-08 00:00:00
698,《有机化学》,芦金荣,药学,中国大学MOOC,学到头秃才算完,药学,大家一定要看芦老师的有机化学好嘛，真的讲的太好了，我预习复习都看芦老师的视频,2021-02-08 00:00:00
699,《药理学》,课程组老师,药学,[爱课程](http://www.icourses.cn/sCourse/course_6450.html),无,药学,药理学这个绝对够,2021-01-16 00:00:00
700,《药理学》,景晴,药理学,其他,朴eason_,临床医学,景晴的药理学我看一半了，非常好,2021-02-09 00:00:00
701,《蓝桥杯编程比赛题解》,**,蓝桥杯编程比赛题解,[B站](https://www.bilibili.com/video/BV1QE411E7ft),风-城-烟-雨,蓝桥杯,近乎全面的蓝桥杯java组题解,2021-02-09 00:00:00
702,《微观经济学》,臧日宏,西方经济学,B站,风儿它轻轻吹,微观经济学,看了很多微观经济学的网课，这个有身临其境的课堂体验并且把复杂的经济学问题简单化。,2021-10-23 00:00:00
703,《油管西语课 Learn Spanish With Paul！mini course系列 + 52个单元课》,Paul,西语专业/想学西语的同学,[YOUTUBE](https://www.youtube.com/playlist?list=PLMod2FLe8bTMBUsqiehwrRFr1pblZ8KQ5),叽里呱啦,英语专业,, 
704,《视觉传达设计思维与方法》,陈楠,视觉传达设计,学堂在线,HUZANG,视觉传达,非常厉害的设计课程，对设计理念和设计方法很好的引导和启发。,2021-12-18 15:58:51
705,《Pr后期剪辑 Ae特效》,罗翔,视频后期,[中国大学MOOC](https://www.icourse163.org/course/CUFE-1462058167?from=searchPage&outVendor=zw_mooc_pcssjg_),DANNI47,博主,, 
706,《pr后期剪辑》,康宁,视频后期,[无](https://www.bilibili.com/video/BV1Hg411w7n2),康,影视后期,,2022-06-13 18:52:28
707,《刑法学》,罗翔,视频后期,其他,super,法学,,2021-12-21 18:14:11
708,《后期剪辑》,罗翔,视频后期,B站,陈陈陈的魔法扫把,法学,,2021-12-27 18:18:25
709,《敬伟PS教程全集》,九霄星河,视频后期,[B站](https://www.bilibili.com/video/BV1YW411e7n5),aisea,信息管理,, 
710,《高数》,宋浩,计算,无,星辰,教育学,,2021-12-17 09:24:29
711,《Android入门》,天哥,计算机,[B站](https://www.bilibili.com/video/BV1Rt411e76H),须臾,计算机,适合Android快速入门(需要java基础），评论区GitHub有源码，内容不拖沓冗余，很简要，注意加强练习,2021-02-08 00:00:00
712,《C#程序设计教程》,唐大仕,计算机,中国大学MOOC,柚子颖宝,计算机科学与技术,适合有一定编程基础的同学学习，上手快,2021-12-18 21:49:02
713,《C++语言程序设计》,清华教授郑莉,计算机,[B站](https://space.bilibili.com/702528832),问萱公子,计算机,老师本人视频，讲的还是很好的,2021-12-05 00:00:00
714,《C、Java程序设计》,翁恺,计算机,MOOC,卖辣条的绅士星,软件工程,思路清晰，简单易懂，适合刚入学的初学者,2021-02-01 00:00:00
715,《C语言》,B站UP主 鱼C-小甲鱼,计算机,[B站](https://www.bilibili.com/video/BV17s411N78s),饺子皮zzzz,计算机科学与技术,适合本科或启蒙学习,2021-02-07 00:00:00
716,《C语言入门：程序设计》,翁恺,计算机,[中国大学MOOC](https://www.icourse163.org/course/ZJU-9001),_碳十二_,侦查学,虽然我不是计算机专业的，但感觉教的真的很棒,2021-01-14 00:00:00
717,《JAVA》,秦疆,计算机,[B站](https://www.bilibili.com/video/BV12J41137hu),小兔巴,数学,保姆级入门教程，每一步要按哪个键，输什么字都讲的明明白白。从入门到高级教程都有。就算已经学过一点也有很多收获,2021-02-04 00:00:00
718,《Java程序设计》,翁恺,计算机,[中国大学MOOC](https://www.icourse163.org/course/ZJU-1001541001),软软不是軟軟,计算机科学与技术,最开始是mooc平台上，但是现在找不到了，b站恰好还有资源，翁恺是我最喜欢的老师之一,2021-02-08 00:00:00
719,《Python语言程序设计》,嵩天、黄天羽、礼欣,计算机,[中国大学MOOC](https://www.icourse163.org/course/BIT-268001),www,数学与应用数学,刚开始可能讲的有点浅，很多用法都没讲清楚，不过适应后就如鱼得水。这个课程学的人挺多的，如果有疑惑，基本上百度一下就能解决，还附带有解析。,2021-01-16 00:00:00
720,《React基础教程》,技术胖,计算机,[B站](https://www.bilibili.com/video/BV1nx411s7Cy),须臾,计算机,适合react初学(不太依赖于VUE基础），老师博客有代码和笔记，看得很爽，建议控制在三天学完，但一定要结合文档，否则应用起来会有困难。,2021-02-08 00:00:00
721,《STM32F103》,刘火良,计算机,[B站](https://www.bilibili.com/video/BV1yW411Y7Gw),Stack_Overflow-,计算机,适合对单片机没概念的，但要有数电和C语言基础,2021-02-08 00:00:00
722,《c语言》,B站 Frank-fuckPPT,计算机,[B站](https://www.bilibili.com/video/BV1qE411d7Zx),Mart_Max,计算机科学与技术,前微软工程师，讲课生动有趣，教会大学里老师不会教你但是必要的知识,2021-04-05 00:00:00
723,《c语言》,比特鹏哥,计算机,B站,ten,网络技术,讲解细致到令人发指，思路非常清晰,2021-12-18 19:17:04
724,《c语言入门》,郝斌,计算机,[B站](https://www.bilibili.com/video/BV1os411h77o),1563624241,计算机,专插本管理学, 
725,《java基础》,尚硅谷宋红康,计算机,B站,yudoufu,软件工程,我个人感觉是java基础讲的最好的,2021-12-18 10:30:25
726,《java基础》,颜群,计算机,B站,良辰,计算机,最详细的java基础课程（个人认为）,2021-02-08 00:00:00
727,《python》,,计算机,[B站](https://www.bilibili.com/video/BV1wD4y1o7AS),时间见证恒久,计算机语言,,2021-01-28 00:00:00
728,《python基础》,杨淑娟,计算机,[B站](https://www.bilibili.com/video/BV1wD4y1o7AS),洛华-黑域, ,将python的只是抽丝剥茧般的讲解，课程有趣。比较生动。适合小白学习。,2021-02-07 00:00:00
