index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
406,《机械制图》,田凌,机械类,[爱课程](http://www.icourses.cn/sCourse/course_2971.html),漠上枯灯,机械类,课程前面大部分都是田凌老师在讲，看了后感觉讲的很利于理解，不像书上那种，说的比较模糊,2021-01-16 00:00:00
407,《机械设计》,吴鹿鸣,机械设计,[爱课程](http://www.icourses.cn/sCourse/course_3163.html),子望兄,机械设计制造及其自动化,机械设计为机械类专业的重点课程，其公式复杂，内容繁多，并不好学。吴鹿鸣教授讲解的机械设计深入浅出，建议配套西北工业大学的《机械设计》（濮良贵）书使用更香（现已出到第十版）,2021-02-26 00:00:00
408,《机械设计》,吴鹿鸣（已故）,机械设计制造及其自动化,爱课程,子望兄,机械设计,详细 生动,2021-02-26 00:00:00
409,《数字电子技术基础》第六版,Hello阿尔法,机电类,[B站](https://www.bilibili.com/video/BV1hr4y1w7iK),芳芳崽崽,空间科学与技术,哈理工的老师，（应该是）讲的非常好，我一个学物理的听老师讲三言两语就懂了。作为数电的简单入门完全没有问题，可惜热度不高！,2021-12-24 16:17:57
410,《大学生力学竞赛-材料力学》,胡益平,材料力学,中国大学MOOC,Tian.H,工程力学,对今年参加力学竞赛的同学有直接帮助；其他学习材料力学的同学通过这门课可以对材力有完全不不一样的理解！,2021-02-09 00:00:00
411,《材料力学》,郭战胜,材料力学,中国大学MOOC,Tian.H,工程力学,知识点讲解很全！,2021-02-09 00:00:00
412,《材料科学基础》,王永欣,材料化学,[爱课程](http://www.icourses.cn/sCourse/course_4405.html),止于云端,材料,建议和评论区ppt一起食用，效果更好,2021-01-15 00:00:00
413,《TEM 透射电子显微镜》,陈福荣,材料科学基础,[B站](https://www.bilibili.com/video/BV165411b74J),阿_宋,材料科学与工程,老师说，一个优秀的材料学家一定是一个出色的电镜学家,2021-12-22 10:46:02
414,《材料科学基础》,王永欣,材料科学基础,中国大学MOOC,叫啥都行,材料科学与工程,老师讲的比较细，速度适中,2021-01-16 00:00:00
415,《主要是VASP的计算比较细致》,华算科技b站账号,材料计算相关基础,[B站](https://www.bilibili.com/video/BV1Lf4y1S7Eg),是一只小黄鸭,材料物理（理论计算）,这些vasp的视频比纸质材料更好理解（我感觉），讲的还算比较细致，愿意在材料方面深造的同学可以看，线下的他们的课是收费的，但是线上是免费的。,2021-01-16 00:00:00
416,《原子核物理》,赵玉杰,核工程与核技术,[其他](https://coursehome.zhihuishu.com/courseHome/1000008824#teachTeam),干饭王,核工程与核技术,对于想学核专业的同学，入门相对友好且难度相对较小,2021-02-07 00:00:00
417,《水利工程制图》,苏静波,水利水电工程,[中国大学MOOC](https://www.icourse163.org/course/HHU-1207120802?from=searchPage),大钊how,水利水电工程,为大学生假期复习备考提供了一个很好的平台。课程讲解精细，和在校期间老师讲授的课程完全一样。,2021-12-25 11:23:03
418,《现代汉语》,现代汉语小懒猪,汉语国际教育,[B站](https://www.bilibili.com/video/BV1ht4y1z7MA),诗成传天下,教育学,适合汉语国际教育专业的考研、自学、期末考试的同学，老师是汉语国际教育专业的讲师（博士），上课诙谐幽默。,2021-12-24 18:50:33
419,《方言与中国文化》,阮桂君,汉语方言学,[中国大学MOOC](http://163.lu/ZRIgk1),秋日里鱼肥,旅游管理,,2021-01-17 00:00:00
420,《中华诗词之美》,叶嘉莹老师,汉语言文学,[超星](https://mooc1.chaoxing.com/nodedetailcontroller/visitnodedetail?courseId=200051834&knowledgeId=103648040),小小哇哇,汉语言文学,了解诗词之美,2021-01-18 00:00:00
421,《中国古代文学》（南京师范大学）,王青、徐克谦、黄卓颖、高峰、黄浩然等,汉语言文学,MOOC,有吉,汉语国际教育,课程搭配习题和书目，推荐给对自己学校这门科目教的不满意的或者想自学童鞋们,2021-12-19 20:28:57
422,《中国古代文学史——隋唐五代》,康震,汉语言文学,[爱课程](http://www.icourses.cn/web/sword/portal/videoDetail?courseId=ff8080814a94c40f014a95178b320077#/?resId=ff8080814a94c40f014a9518dcf30079),萌萌的苔花9,汉语言文学,中国诗词大会上的那位老师，以诗人为线索讲文学，讲的棒极了,2021-01-19 00:00:00
423,《中国古代文学史》,尚学峰老师,汉语言文学,[爱课程](http://www.icourses.cn/sCourse/course_3822.html),小小哇哇,汉语言文学,思路清晰，很适合在校大学生用以夯实古代文学史基础,2021-01-18 00:00:00
424,《中国文学史》,欧丽娟,汉语言文学,[臺大開放式課程](http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/102S104),云慢慢,汉语言文学,讲解内容有深度，可以引发我们新思路,2021-01-18 00:00:00
425,《南京大学—中国现当代文学》,,汉语言文学,[其他](http://www.icourses.cn/sCourse/course_3763.html),寻觅世界的每个角落,汉语言文学、教育学,老师讲的有逻辑，有重点，有趣味,2021-02-06 00:00:00
426,《古代文论》,杨宁老师,汉语言文学,B站,云慢慢,汉语言文学,思路清晰，语言明白易懂,2021-01-18 00:00:00
427,《古代汉语》,胡安顺老师,汉语言文学,[爱课程](http://www.icourses.cn/sCourse/course_7300.html),小小哇哇,汉语言文学,很棒,2021-01-18 00:00:00
428,《史记人物形象》,过常宝老师,汉语言文学,[爱课程](http://www.icourses.cn/web/sword/portal/videoDetail?courseId=ff80808141db790e0141dea0673d01aa#/?resId=ff80808141db790e0141dea1739801ac),小小哇哇,汉语言文学,听完豁然开朗,2021-01-18 00:00:00
429,《庄子 高柏园老师》,布谷飞飞,汉语言文学,[B站](https://www.bilibili.com/video/BV1ah41117FE),七月和鹿,文学,很不错的课,2022-02-16 20:02:46
430,《文学理论》,杨宁,汉语言文学,B站,姜太公钓鱼,历史学,课堂活泼生动，非专业同学看起来也非常上头,2021-02-08 00:00:00
431,《文学理论入门》,杨宁老师,汉语言文学,B站,云慢慢,汉语言文学,思路清晰，语言明白易懂,2021-01-18 00:00:00
432,《文献学的理论与方法》,郭英德,汉语言文学,[中国大学MOOC](https://www.icourse163.org/course/BNU-1002718008),孟雪居士,汉语言文学,对于古典文献学的入门开拓了思路,2021-02-07 00:00:00
433,《红楼梦》,欧丽娟,汉语言文学,[臺大開放式課程](http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/101S120/7),云慢慢,汉语言文学,讲解内容有深度，可以引发我们新思路,2021-01-18 00:00:00
434,《西方文论》,杨宁老师,汉语言文学,B站,云慢慢,汉语言文学,思路清晰，语言明白易懂,2021-01-18 00:00:00
435,《诗经导读》,李山老师,汉语言文学,[超星](https://mooc1.chaoxing.com/course/203386383.html),小小哇哇,汉语言文学,李老师做学术严谨执着，讲课严肃中有幽默犀利,2021-01-18 00:00:00
436,《说文解字》与上古社会,万献初,汉语言文学,[中国大学MOOC](https://www.icourse163.org/course/WHU-500004),砢_mitsuishi,书法学,许慎《说文解字》入门课,2021-02-09 00:00:00
437,《走近大诗人（陶渊明|李白|杜甫 合）》,戴建业老师,汉语言文学,[网易公开课](https://open.163.com/newview/movie/free?pid=MDUMJLOAP&mid=MDUTNIS5H),小小哇哇,汉语言文学,老师讲课的节奏很舒服，一起来接受诗词的熏陶吧,2021-01-18 00:00:00
438,（无固定名称，文学漫谈系列，例如《关于木心，我们能谈论什么？》）,剃刀三人帮,汉语言文学,[B站](https://www.bilibili.com/video/BV1ai4y1t7zF),格里高尔站起来,汉语言文学,遇见剃刀三人帮是我的文学旅程中最幸运的事之一,2021-12-21 23:01:35
439,《沉积岩石学》,朱晓敏,沉积,B站,爱分享的share君,沉积岩石学,(空),2021-02-23 00:00:00
440,《2020法大法考民法强化》,刘家安,法学,[B站](https://www.bilibili.com/video/BV1uv41147WY),我是Vicky鸭,法学,从原理层讲述民法，随之知识层也容易懂。民法庞杂，掌握原理比琐碎的知识更为重要,2021-01-25 00:00:00
441,《刑事诉讼法》,李训虎,法学,其他,Young0101,法学,,2021-12-19 23:20:01
442,《刑事诉讼法》,蔡元培,法学,[中国大学MOOC](https://www.icourse163.org/course/cupl-1462063165),_碳十二_,侦查学,,2021-01-14 00:00:00
443,《刑法学》,罗翔,法学,无,1100,法学,,2021-12-20 18:43:39
444,《刑法学》,齐文远,法学,其他,2772789461,法学,, 
445,《刑法学》,罗翔,法学,B站,49300288745_bili,法学,哈全安教授是世界上古史方向的代表性人物，老师讲的上古史没那么枯燥，值得观看。, 
446,《刑法学》,罗翔,法学,无,82797312949,法学,,2021-12-24 17:10:58
447,《刑法学》,罗翔,法学,无,Fxtreme,法学,,2021-12-18 09:57:40
448,《刑法学》,罗翔,法学,B站,Misakiee,法学,,2021-12-18 20:58:14
449,《刑法学》,罗翔,法学,[其他](http://www.houdask.com/#/packaging/27/2020/1),_碳十二_,侦查学,中国政法大学十大受欢迎教师,2021-01-14 00:00:00
450,《刑法学》,罗翔,法学,[B站](https://www.bilibili.com/video/BV16x411873v),dididi,法学,,2022-04-29 22:38:49
451,《刑法学》,罗翔,法学,B站,dusthuge,法学,,2021-12-19 13:23:15
452,《刑法学》,罗翔,法学,无,kk4093,罗翔,,2021-12-26 10:40:25
453,《刑法学》,卢鑫,法学,B站,yj,法学,来看,2021-12-22 14:01:33
454,《刑法学》,罗翔,法学,[B站](https://docs.qq.com/sheet/DRU5MWHZCTHFGQnhM),农民工的兄弟,法学,, 
455,《刑法学》,罗翔,法学,B站,决战馒头山,法学,,2021-12-30 11:04:26
456,《刑法学》,罗翔,法学,B站,可可,法学,,2021-12-20 14:41:50
457,《刑法学》,罗翔,法学,无,墨鱼琦,新能源汽车,,2021-12-24 10:13:26
458,《刑法学》,罗翔,法学,无,多毛毛,法学,,2022-01-27 15:09:50
459,《刑法学》,罗翔,法学,B站,大胖,法学,,2021-12-19 09:24:44
460,《刑法学》,罗翔,法学,无,小郭,法学,,2021-12-21 10:23:24
461,《刑法学》,罗翔,法学,B站,张晨阳,材料化学,,2022-03-01 09:45:26
462,《刑法学》,柏浪涛（众合教育）,法学,B站,櫂音こ兎,法学,法考相关课程，up主众合教育官方,2021-12-18 22:09:49
463,《刑法学》,罗翔,法学,B站,记得探视野哦,法学,, 
464,《刑法学分论）,王新,法学,[超星](http://mooc1.chaoxing.com/course/116837.html),Lmcsr,法学,着重于分析法条的演变过程，加深刑法分则条文的理解程度,2021-02-07 00:00:00
465,《刑法学，民法学》,罗翔，张明楷,法学,B站,天才还是废材,法学,,2022-03-21 10:49:35
466,《劳动与社会保障法》,熊晖,法学,中国大学MOOC, ,劳动与社会保障法,抱有人文主义视角的劳动法教学,2021-02-08 00:00:00
467,《后期》,罗老师,法学,无,中文,大学,,2021-12-19 19:35:26
468,《学习通》,罗翔,法学,B站,嗨嗨害,其他,加油, 
469,《幸福课》,罗翔,法学,[网易公开课](https://study.163.com/course/courseMain.htm?courseId=1209570828&share=1&shareId=1450181079),嘻嘻嘻,汽车服务工程,, 
470,《幸福课》,无,法学,B站,无,法学,, 
471,《新发现》,罗翔,法学,无,wake up,无,,2021-12-27 14:03:29
472,《民法》,张翔,法学,其他,槐序,法学,厚大法考受欢迎老师，知识逻辑清晰，老师可爱,2021-01-15 00:00:00
473,《民法》,文运法硕戴寰宇,法学,B站,櫂音こ兎,法学,法硕相关课程，up主文运法硕官方账号,2021-12-18 22:33:02
474,《民法》,钟秀勇老师,法学,其他,繁星点点,大一法学萌新,每一专题都能通过案例讲解，容易理解，上课听不懂就听这个老师的,2021-01-18 00:00:00
475,《行政法》,黄韦博（柏社法考）,法学,B站,櫂音こ兎,法学,B站up主柏社法考官方，各种法考课程,2021-12-18 22:27:01
476,《学习》,罗翔,法律,B站,放心,宪法,,2022-03-30 21:47:13
477,《法理学》,苏力（朱苏力）,法理学,[B站](https://www.bilibili.com/video/BV1Ms411y7vG),沧浪水,法学,本科法学教育，同时融汇经济、政治、历史学,2021-02-08 00:00:00
478,《法语入门系列》,法语二师兄,法语,[B站](https://space.bilibili.com/173544438/channel/detail),全网通缉在逃ing,汉语言文学,,2021-02-08 00:00:00
479,《法语入门系列》,法语二师兄,法语,[B站](https://www.bilibili.com/video/BV1a7411m7Uu),慕,法语,基础，详细,2021-02-08 00:00:00
480,《流体力学》,房佳蓓等,流体力学,中国大学MOOC,羊驼Abigail,大气科学,老师娓娓道来，十分简洁明了地讲解了流体力学的重要概念和计算，是很好的流体力学入门课程，特别适合学气象的同学们,2021-02-07 00:00:00
481,《数字信号处理》,李雅梅,测控技术与仪器,[学堂在线](https://www.xuetangx.com/course/lntu08071001291/4230577),飒飒飒,测控技术与仪器,课程讲解清晰 条理分明 有独到见解 适合测控专业的学生入门学习,2021-02-07 00:00:00
482,《测绘学概论》,宁津生等诸位教授,测绘工程,[B站](https://www.bilibili.com/video/BV1rE411f73T),汩羽,测绘工程,最经典最详细测绘学入门教程，另外宁老千古！,2021-12-19 16:12:37
483,《测量学基础》,是你认识的小杰老师吖,测绘工程,[B站](https://space.bilibili.com/602090995),-冉--,测绘,两分钟学会测量学基础！！真的很好用, 
484,《声学基础》,许肖梅,海洋声学,B站,咩栗gachi,动画,声学基础、海洋声学、船舶工业、声波、物理学，便于搜索，大家学的开心呢,2021-12-18 21:06:33
485,《混凝土结构基本原理》,顾祥林,混凝土结构基本原理,[B站](https://www.bilibili.com/video/BV1EW411A7cR),小齐全全,土木工程,,2021-02-05 00:00:00
486,《unity游戏特效shader forge》,,游戏特效,[B站](https://space.bilibili.com/20508311/channel/detail),依晓凡,游戏美术（特效）,节点文档说明https://acegikmo.com/shaderforge/nodes/,2021-02-08 00:00:00
487,《unity游戏特效入门》,,游戏特效,[其他](https://ke.qq.com/course/232556?taid=1532929662749804),依晓凡,游戏美术（特效）,适合小白新手 unity基础 特效入门基础知识 讲解unity引擎 粒子系统 3Dmax基础操作 PS绘制等等,2021-02-08 00:00:00
488,《满分线性代数——之概念篇》,线帒杨 (杨威老师),满分💯 线性代数,[其他](https://ke.qq.com/course/375599?taid=5636315647687471&=undefined#term_id=100447257),向往满分💯 吗,线代,讲法生动有趣，从计算机底层架构入手，让人从计算机的角度去理解编程的原理，激发创造性。, 
489,《热学》,物理系的允文君,热学,[B站](https://www.bilibili.com/video/BV1Cx41127Zx),十五的月亮十六袁,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021-02-08 00:00:00
490,《工程热力学》,史琳,热能工程系工程热物理,无,青山不老asdf, ,,2021-08-23 00:00:00
491,《仓储与库存管理》,张旭凤、解晓灵 、刘俐 、梁晨 、赵琨,物流、仓储,无,快乐的鼠兔,物流管理,物流领域难得的国家级课程，在mooc平台上即可免费参加,2021-12-15 21:00:18
492,《大学物理》,马文蔚,物理,B站,mll,生物学,老师讲的很好，很详细, 
493,《大学物理》,同济大学多位教师,物理,中国大学MOOC,世界现存最可爱人类,数据科学与大数据技术,一节课十几二十分钟 清晰易懂（量子力学那两章的老师讲的不太好） 非常适合考前临时抱佛脚以及课前预习,2021-02-07 00:00:00
494,《数学物理方法》,吴崇试,物理,[爱课程](https://www.bilibili.com/video/BV13s411t7rZ),Wang hy,物理学,吴老讲课非常有激情，讲的体系很完整，结构比较合理,2021-01-19 00:00:00
495,《普物》,允文君,物理,[B站](https://www.bilibili.com/video/BV1Cs41187se),於玥笙,机械电子工程,他基础很扎实，讲的很细，适合学习大学物理和对物理领域感兴趣的共同学习,2021-02-02 00:00:00
496,《普通物理》,杨振宁,物理,[B站](https://www.bilibili.com/video/BV1Fx411T7sV),chenyinheng30,物理,,2021-02-10 00:00:00
497,《混沌动力学基础》,郝柏林,物理,[B站](https://www.bilibili.com/video/BV1FW41157zW),MOUSEAT,化学,差点就成为朗道学生的中国院士,2021-02-08 00:00:00
498,《热力学与统计物流》,金晓峰,物理,[爱课程](http://www.icourses.cn/sCourse/course_5922.html),MOUSEAT,化学,会穿插很多热力学的原始文献,2021-02-08 00:00:00
499,《物理化学》,楼上工具人（真名：傅云涛）,物理化学,[MOOC](https://www.icourse163.org/course/ZJU-93001?from=searchPage&outVendor=zw_mooc_pcssjg_),bilibili——楼上工具人（也是作者）,药学（基础药学理科基地）,up主本人作为本科在读生，对于中国药科大学的物理化学知识点进行了研究之后，完成了热力学部分一点点的教学内容。由于实在太难，目前处于半停更状态orz, 
500,《B站搜索up即可 名称就是渝语兰》,渝语兰,物理学,[B站](https://space.bilibili.com/257994679),浅港莫,大学物理,老师讲解生动有趣，配套的例子和勾画的重点非常棒，强推！,2021-02-10 00:00:00
501,《大学物理》,高数叔,物理学,[B站](https://www.bilibili.com/video/BV1ez4y1179X),R,生物技术专业,,2021-12-22 17:22:40
502,《大学物理》,马文蔚,物理学,[爱课程](http://www.icourses.cn/sCourse/course_7032.html),天気,生物技术,期末救星，全靠他上了90，而且老师讲解很详细，基础不太好的也能听得懂,2021-01-17 00:00:00
503,《微分几何入门与广义相对论》,量产病,物理学,[B站](https://www.bilibili.com/video/BV1o4411L72E),NanoChen,物理学,梁老师是广义相对论教育领域最好的老师，暂时没有之一。两个课程链接对应同名教材的上册和中下两册的知识。课程前置数学知识，微积分线代离散数学点集拓扑微分几何群论(缺一不可)。,2021-12-20 15:09:36
504,《数学物理方法》,周国权,物理学,[爱课程](http://www.icourses.cn/sCourse/course_3450.html),baozi921,物理学,讲的很全面，但是课时超级多，适合筛选章节来听,2021-01-28 00:00:00
505,《数学物理方法》,姜颖,物理学,无,余暮雪,物理学类,公式推导讲的非常详细，非常适合预习,2021-12-15 19:18:52
506,《热力学与统计物理》,金晓峰 陈焱,物理学,无,Mr. Yan,物理学,爱课程平台上的课，不过up主整理得更全面一些，老师会讲解热学的发展历史以及原始文献，讲得非常透彻,2022-06-01 14:52:31
507,《理论力学》,任延宇,物理学,[中国大学MOOC](https://www.icourse163.org/course/HIT-1206323802),Freeliner, ,任老师亲自上传的课程，PPT制作精美，板书工整漂亮。声音洪亮，语言流畅。思路清晰，条理分明，解惑疑难。在讲授知识的同时传达对物理的深刻理解。,2021-01-17 00:00:00
508,《理论力学》（物理类）,任延宇,物理学,[中国大学MOOC](https://www.icourse163.org/course/HIT-1206323802),张亦可,物理学,任老师的课程应该是全网最好的理论力学课了，板书清楚，推导详细，讲课有条理，不需要什么高数基础都能够听懂的理论力学。,2021-02-07 00:00:00
509,《理论力学（物理类）》,任延宇,物理学,[B站](https://www.icourse163.org/course/HIT-1206323802),baozi921,物理学,老师很有情怀，讲课清晰明了，而且有板书推公式，缺点是内容比较基础，适合入门,2021-01-28 00:00:00
510,《电工电子学》,秦三勇,物理学,无,余暮雪,物理学类,配合秦曾煌老师编写的电工学课本（高等教育出版社）最佳（秦三勇老师就是这本书的副编），老师讲的非常详细，板书也做得非常棒，B站有课程，可以说无论是预习还是学习都非常合适，不过由于课时较长，可能不太适合复习（https://www.bilibili.com/video/BV1et411z7Nz?spm_id_from=333.1007.top_right_bar_window_custom_collection.content.click）,2021-12-15 19:26:54
511,《量子力学》,B站UP主没尾巴的耗子,物理学,B站,Freeliner, ,深入浅出，讲解详细。适合考研或想学习量子力学的同学。,2021-01-17 00:00:00
512,《量子力学》,田光善,物理学,无,小柴的奇妙冒险,核工程与核技术,田老师的量子力学讲得很好的，全程板书+讲义（评论区下载），推荐给想深入学习的同学,2021-12-19 15:26:08
513,《量子力学》,王可嘉,物理学,[B站](https://www.bilibili.com/video/BV13E41147eJ),昂然Sama,物理,,2021-04-01 00:00:00
514,《微分几何入门与广义相对论》,梁灿彬,物理相关,[无](https://www.bilibili.com/video/BV1Hx411T7AD),游理db,物理,,2021-12-29 15:16:15
515,《物联网》,比尔盖茨,物联网应用技术,B站,沈辰鸿,物联网,,2021-12-19 21:31:16
516,《大气污染控制工程》,郝吉明,环境工程,[爱课程](http://www.icourses.cn/sCourse/course_2961.html),昔往今来,环境工程,环境领域的清华院士开设的大气污染课程，前两讲由郝院士讲授，后续课程由清华的老师讲述，需要一定的环境工程的学习基础,2021-02-08 00:00:00
517,《环境艺术》,陈老师,环境艺术,无,余,环境艺术,学习,1900-01-05 07:12:00
518,《CAD室内设计系统培训》,3dmax陈莫,环境艺术设计/室内设计,[B站](https://www.bilibili.com/video/BV1dS4y1D76W),学CAD的学生,环境艺术设计,声音与节奏很好，非常适合小白，专业度很高很高！, 
519,《环艺手绘》,雷哥教你画手绘,环境设计,B站,14w个粉丝,环境设计,真的挺好,2021-12-18 21:22:11
520,《现代控制理论》,Dr.CAN,现代控制理论,[B站](https://www.bilibili.com/video/BV1yx411u7iX),夏和半山,自动化,由浅入深，层层铺垫,2021-02-07 00:00:00
521,《线性代数》,宋浩,理学,[B站](https://www.bilibili.com/video/BV1aW411Q7x1),世界现存最可爱人类,数据科学与大数据技术,,2021-02-07 00:00:00
522,《概率论与数理统计》,宋浩,理工科,B站,司徒杰杰,物联网,宋浩老师YYDS，概率论讲的太清楚了,2021-12-18 20:58:03
523,《高等数学》,孔祥仁,理工类非数学系,[B站](https://www.bilibili.com/video/BV1a14y187qn),小王同学,电子信息工程,孔老师的高数课特点是内容多 无废话 有连贯性并且1侧重于知识点的原理讲解，适合大一自主学习。, 
524,《生物信息学》,,生信,[中国大学MOOC](https://www.icourse163.org/course/SDU-1001907001?tid=1450236461),-XXAY-,生信,通俗易懂 十分易懂,2021-01-16 00:00:00
525,《分子生物学》,Steve Bell,生命科学,[B站](https://www.bilibili.com/video/BV1Kt4y1k7Aw),墨水,生命科学,,2021-12-19 22:50:56
526,《生物化学》,阿男老师,生物化学,B站,小问号有很多问号,园艺,老师是某医学院的，课程是分模块来讲的，适合期末复习用,2021-01-18 00:00:00
527,《生物化学》,百奥乐基-童学强,生物化学,B站,血色楚轩,生物工程,,2021-12-18 19:46:31
528,《生物化学原理》,贺银成,生物化学,中国大学MOOC,花理度,生物制药,,2021-01-15 00:00:00
529,《植物生理学》,郁飞,生物学,中国大学MOOC,无缝苍蝇不叮蛋,生物技术,对生物学专业英语、细胞信号通路研究有很大帮助,2021-01-25 00:00:00
530,《生物学概念与途径》,饶毅等,生物学,中国大学MOOC,无缝苍蝇不叮蛋,生物技术,本人认为是中国生物类最好的通识课程，中国最顶级的一批科学家授课，不论是对于生物专业还是非生物专业，都值得一看,2021-01-27 00:00:00
531,《结构生物化学》,杨荣武,生物技术,中国大学MOOC,梦蝶竹叶,生物技术,老师讲的很好,2021-02-08 00:00:00
532,《代谢生物化学》,杨荣武,生物科学,[中国大学MOOC](https://www.icourse163.org/course/NJU-1207453804),天気,生物技术,超优质生化课程资源，老师讲解得很清晰而且很有趣,2021-01-17 00:00:00
533,《植物学》,刘朝辉,生物科学,[中国大学MOOC](https://www.icourse163.org/course/CAU-1205809833?tid=1450245477),六两点同学,生物科学,配图多，形象生动，语速正好，讲的细,2021-01-15 00:00:00
534,《生物化学原理》,不知道老师的名字,生物科学,[EDX](https://courses.edx.org/courses/course-v1:harvardx+MCB63x+2T2018/course/),天気,生物技术,英文课程比较困难，但讲得很清晰,2021-01-17 00:00:00
535,《结构生物化学》,杨荣武,生物科学,[中国大学MOOC](https://www.icourse163.org/course/NJU-1001572004),天気,生物技术,超优质生化课程资源，老师讲解得很清晰而且很有趣,2021-01-17 00:00:00
536,《生理学》,罗自强，管茶香,生理学,[爱课程](http://www.icourses.cn/sCourse/course_6701.html),interesting,临床医学,,2021-01-17 00:00:00
537,《生理学》,罗自强,生理学,中国大学MOOC,哈士基睡到自然醒,医学,讲解清晰易懂，与课本结合密切。,2021-02-07 00:00:00
538,《自动控制原理》,卢京潮,电,[B站](https://www.bilibili.com/video/BV1ZJ411c757),吃啥呢掰我点,电气工程及其自动化,卢姥爷yyds, 
539,《电力电子技术》,西瓜粥西瓜粥,电力电子技术,[B站](https://www.bilibili.com/video/BV1C7411E7Ww),夏和半山,自动化,细节，清晰，理解深刻,2021-02-07 00:00:00
540,《信号与系统》,郭宝龙,电子信号工程,[中国大学MOOC](http://www.icourse163.org/course/XJTU-1206497813),Robert_W,电子信号工程,适合本科与考研学习,2021-02-07 00:00:00
541,《信号与系统（西安电子科技大学的系列）》,郭宝龙,电子信息,[B站](https://www.bilibili.com/medialist/detail/ml1260506903),连胜酱,通信工程,专业基础课可看,2021-07-29 00:00:00
542,《电子技术基础（模电、数电）》,张林,电子信息,B站,455921584,微电子学与固体电子学,张林老师把模电讲的很通透，对于跨专业的我来说，仿若苦海明灯, 
543,《电子模拟电子技术》,郑益慧,电子信息,B站,Kyleffv,电子电气工程,老师认真负责，深入浅出,2021-02-09 00:00:00
544,《线性代数》,Gilbert Strang,电子信息,[网易公开课](http://open.163.com/special/opencourse/daishu.html),锂电池djsh。,电子信息,讲解细致，通俗易懂,2021-01-16 00:00:00
545,《线性代数与空间解析几何》,郑宝东,电子信息,[爱课程](http://www.icourses.cn/web/sword/portal/shareDetails?cId=2924#/course/chapter),锂电池djsh。,电子信息,细致入微，较好理解，哈工大宝藏老师和线代教材编写者,2021-01-16 00:00:00
546,《高频电子线路》,陈建,电子信息/通信/电子类基础课,[B站](https://www.bilibili.com/video/BV1p441197Xp),宏,电子信息,挺好的，只不过一定要坚持。,2022-01-01 14:19:09
547,《模拟电子技术基础》,郑益慧,电子信息工程,[B站](https://www.bilibili.com/video/BV1Gt411b7Zq),I沈逸老师I,电子信息工程,上海交大的郑益慧老师所讲，讲课通俗易懂，也十分精炼，配套模拟电子技术基础第四版课本进行使用，适合自学以及考研的同学看。请记得：按时完成老师布置的课下作业，会受益颇深哦~,2021-02-08 00:00:00
548,《电磁波与电磁场》,王园,电子信息工程,[B站](https://www.bilibili.com/video/BV1z7411j7Ex),山路五里空欢喜,电子信息工程,讲得挺细致得,2022-02-25 11:33:22
549,《完整全桥逆变电路方案提供（驱动电路、逆变桥、阻抗匹配电路）》,FPGA小学生,电子信息科学与技术,[B站](https://www.bilibili.com/video/BV1Mi4y1o7CE),1206964085,电子信息科学与技术,挺好的一个up，我认为讲的还算行吧，原理方面,2021-12-20 22:42:14
550,《信号与系统》,孟桥,电子信息类,[MOOC](https://www.icourse163.org/course/SEU-204001?tid=1206023212),何志武,通信工程,讲明白每个知识点的前因后果，帮助理解各个变化之间的关系,2021-01-17 00:00:00
551,《信息论与编码理论》,雷菁,电子信息类,[爱课程](http://www.icourses.cn/sCourse/course_3257.html),joe,电子信息,听了一遍，期末轻松95+,2021-01-17 00:00:00
552,《信号与系统》,胡浩基老师,电子信息类领域,[B站](https://www.bilibili.com/video/BV1qW411H7UX),微辣烤冷面,电子信息工程,, 
553,《Matlab教程》,郭彦甫,电子信息，计算机,[B站](https://www.bilibili.com/video/BV1GJ41137UH),BOIDMACHINE,电子科学与技术,Matlab作为一款重要的数学软件对于电子信息领域学生是十分重要的,2021-12-19 19:26:27
554,《电子商务概论》,B站UP主,电子商务概论,B站,爱学习的小叮当猫,电子商务,,2021-02-08 00:00:00
555,《模拟电子技术基础》,郑益慧,电子类,B站,仅供学习交流,模拟电子技术基础,贴近真实课堂，老师思路清晰，授课具有启发性，教书的同时还育人，是个好老师。,2021-02-18 00:00:00
556,《电路基础》,石群,电子类/电气类基础课程,[B站](https://www.bilibili.com/video/BV1Ss41117Fs),宏,电子信息,老师虽然不是板书，但真的讲的仔细,2022-01-01 14:21:16
557,《数字电子技术基础（讲的非常细致清楚，适合初学者，0基础）》,齐明,电控,[中国大学MOOC](https://www.icourse163.org/course/HIT-254001),suda,机械电子工程,,2021-02-08 00:00:00
558,《模拟电子技术》,郑益慧,电气,[B站](https://www.bilibili.com/video/BV1Gt411b7Zq),Tristesse_STK,电气工程及其自动化,郑老师讲解模电不会按照解题套路去讲课，而是按照对电路功能或者实际需求来一步步推理或者拆解着讲，所以听完后很多不懂的难点会茅塞顿开。,2021-02-08 00:00:00
559,《电子技术基础 模拟部分（第五版）》,张林,电气,[B站](https://www.bilibili.com/video/BV1cW411o7jX),柳宇风殇,电子信息工程,该书试用于华中科大康华光老师编写使用，目前B站授课只有第五版，陆续有第六版课程我会关注,2021-02-08 00:00:00
